date,market,segment,source,campaign,impressions,clicks,page_visits,leads,registrations,opportunities,orders,spend,target_cpl
2023-04-01,All Markets,Paid Social,Facebook,AM_LG_25042023,583962,1007.0,0.0,67.0,67.0,0.0,0.0,22912.71,600.0
2023-04-01,All Markets,Paid Social,Facebook,AM_LG_AudienceTest_25042023,280616,1017.0,0.0,89.0,89.0,0.0,0.0,25680.81,1200.0
2023-04-01,All Markets,Paid Social,Facebook,AM_LG_PS_17042023,1,0.0,0.0,0.0,0.0,0.0,0.0,9.79,200.0
2023-04-01,All Markets,Search,Google,AM_BrandSearch_15112023,18061,2162.0,0.0,229.99,229.99,0.0,0.0,38665.92,1500.0
2023-04-01,All Markets,Search,Google,Search-Product_Generic-All_Market-29_March,54884,1348.0,0.0,75.0,75.0,0.0,0.0,28060.1,750.0
2023-04-01,Delhi,Paid Social,Facebook,DL_BA_27042023,187273,453.0,0.0,0.0,0.0,0.0,0.0,5964.65,800.0
2023-04-01,Gujarat,Paid Social,Facebook,GJ_LG_31012023,1977391,6662.0,0.0,1021.0,1021.0,0.0,0.0,59777.33000000001,1200.0
2023-04-01,Karnataka,Paid Social,Facebook,KA_LG_08042023,244695,847.0,0.0,68.0,68.0,0.0,0.0,18194.58,3000.0
2023-04-01,Karnataka,Paid Social,Facebook,KA_LG_100320233,2954971,8136.0,0.0,769.0,769.0,0.0,0.0,213393.55000000002,1800.0
2023-04-01,Maharashtra,Demand Gen campaigns,Google,MH_Discovery_20042023,266703,1554.0,0.0,18.0,18.0,0.0,0.0,8936.49,250.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_04042023,1035936,3576.0,0.0,298.0,298.0,0.0,0.0,90282.61,1800.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_11042023,3368677,9602.0,0.0,870.0,870.0,0.0,0.0,300599.68,1800.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_21022023,1377834,3874.0,0.0,300.0,300.0,0.0,0.0,123744.67,2400.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_CreativeTest_28032023,193061,902.0,0.0,65.0,65.0,0.0,0.0,14363.01,600.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_FormTestHindi_19042023,841283,3569.0,0.0,169.0,169.0,0.0,0.0,63929.350000000006,600.0
2023-04-01,Maharashtra,Paid Social,Facebook,MH_LG_FormTestMarathi_19042023,680226,2739.0,0.0,191.0,191.0,0.0,0.0,63883.369999999995,600.0
2023-04-01,Tamil Nadu,Demand Gen campaigns,Google,TN_Discovery_17-02-2023,2623334,17764.0,0.0,207.0,207.0,0.0,0.0,34742.45,250.0
2023-04-01,Tamil Nadu,Paid Social,Facebook,TN_LG_04042023,691655,2043.0,0.0,150.0,150.0,0.0,0.0,49440.39,1200.0
2023-04-01,Tamil Nadu,Paid Social,Facebook,TN_LG_30012023,2605020,10579.0,0.0,724.0,724.0,0.0,0.0,186903.41,1800.0
2023-04-01,Tamil Nadu,Paid Social,Facebook,TN_LG_CreativeTest_28032023,101194,293.0,0.0,26.0,26.0,0.0,0.0,6364.0599999999995,400.0
2023-04-01,Telangana,Paid Social,Facebook,TL_LG_100320233,411287,1264.0,0.0,135.0,135.0,0.0,0.0,33289.49,1800.0
2023-05-01,All Markets,Demand Gen campaigns,Google,AM_LG_Discovery_28042023,2147708,15861.0,0.0,145.0,145.0,0.0,0.0,41827.55,250.0
